text	genre
"Van Persie is suspended alongside Dennis Bergkamp and Jose Antonio Reyes after being sent off at Southampton when Arsenal had a numerical advantage. Thierry Henry is ruled out with an Achilles tendon injury but Cole said: ""No-one is putting the blame on Robin. ""It's just something that happens on the spur of the moment."" Cole added: ""I've done it before and I hope they didn't blame me for anything. ""Of course he'll learn. I've been sent off a couple of times now and it's just one of those things when you go a bit crazy for one or two seconds. Freddie Ljungberg is likely to be used in an emergency striking role and will be partnered by either Arturo Lupoli, Quincy Owusu-Abeyie or Jeremie Aliadiere. Gunners boss Arsene Wenger said: ""Freddie is an option but we need a second striker. ""I have to decide whether it will be Aliadiere, Quincy or Lupoli who will start with him up front. Those three will be involved."" Arsenal are also without winger Robert Pires, who sustained an ankle injury at St Mary's. Wenger added: ""It doesn't look like anything is fractured, but it is a good ankle sprain. ""It does not look like Pires will be ready for two to three weeks."""	sport
"Sales have tripled since launch, outstripping Microsoft's Xbox, said market analysts Chart-Track. The numbers were also boosted by the release of the PS2-only game Grand Theft Auto: San Andreas. The title broke the UK sales record for video games in its first weekend of release. Latest figures suggest it has sold more than 677,000 copies. ""It is obviously very, very encouraging for Sony because Microsoft briefly outsold them last week,"" John Houlihan, editor of Computerandvideogames.com told BBC News. ""And with Halo 2 [for Xbox] out next week, it really is a head-to-head contest between them and Xbox."" Although Xbox sales over the last week also climbed, PS2 sales were more than double that. The figures mean Sony is reaching the seven million barrier for UK sales of the console. Edinburgh-based developer, Rockstar, which is behind the GTA titles, has seen San Andreas pull in an estimated Â£24m in gross revenues over the weekend. In comparison, blockbuster films like Harry Potter and The Prisoner Of Azkaban took Â£11.5m in its first three days at the UK box office. The Lord of the Rings: The Return of the King took nearly Â£10m over its opening weekend, although games titles are four to five times more expensive than cinema tickets. Gangster-themed GTA San Andreas is the sequel to Grand Theft Auto Vice City which previously held the record for the fastest-selling video game ever. The Xbox game Halo 2, released on 11 November in the UK, is also widely tipped to be one of the best-selling games of the year. The original title won universal acclaim in 2001, and sold more than four million copies. Mr Houlihan added that Sony had done well with the PS2, but it definitely helped that the release of San Andreas coincided with the slimline PS2 hitting the shelves. The run-up to Christmas is a huge battlefield for games consoles and titles. Microsoft's Xbox had been winning the race up until last week in sales. The sales figures also suggest that it may be a largely adult audience driving demand, since GTA San Andreas has an 18 certificate. Sony and Microsoft have both reduced console prices recently and are preparing the way for the launches of their next generation consoles in 2005. ""Both have hit crucial price points at around Â£100 and that really does open up new consoles to new audience, plus the release of two really important games in terms of development are also driving those sales,"" said Mr Houlihan."	tech
"But Bellamy, 25, has not been put on the transfer list, although he did not train with the first team on Tuesday. Magpies chairman Freddy Shepherd told the Newcastle Evening Chronicle: ""It is not about money. It is about a player thinking he is bigger than this club. ""No individual is, be it the chairman, the manager or a player."" Souness dropped Bellamy for Sunday's game against Arsenal, claiming the Welshman had feigned injury after being asked to play out of position. ""When I heard what the manager was saying I was in shock,"" Bellamy said. ""I thought 'not only has he gone behind my back, he's lying',"" he said in response to Souness' remarks. And the Wales international refused to apologise. ""I won't apologise because I have done nothing wrong,"" he told the Evening Chronicle. ""There's no doubt about it, I am out of here."" The difficult relationship between Souness and Bellamy boiled over at the weekend, and has led to a war of words in the media. Bellamy's claim that Souness had lied about the background to the bust-up was strongly denied by Shepherd, who accused the striker of ""cheating"" the club. ""I wish to put the record straight regarding the Bellamy situation,"" said Shepherd. ""Craig walked off the training ground saying his hamstring was tight (on Friday), but what he failed to reveal was that he had told other members of the squad before training that he intended to feign injury. ""When Graeme discovered this he immediately ordered Bellamy to attend a meeting in my office. ""At that meeting Bellamy admitted to Graeme and I that he had told the players that he was going to ""fake"" an injury in training and walk off. ""He also agreed at that meeting to apologise to his team-mates for his behaviour. He didn't do this which resulted in the action taken by the manager at the weekend, which I fully support. ""In my book this is cheating on the club, the supporters, the manager and his own team-mates. ""He is paid extremely well and I consider his behaviour to be totally unacceptable and totally unprofessional."" Bellamy's latest outburst would appear to make his chances of a first-team recall remote. But even before Newcastle said the player would not be sold, Bellamy insisted he had no intention of handing in a transfer request. ""I don't want the fans to think for one minute that I wouldn't play for this club,"" he said. ""I'd play anywhere for this club, even in goal. ""It's a very difficult situation for me at the moment but I'd never ask to leave this club. ""This club means so much to me. I couldn't do it because I know I couldn't come back here and play against Newcastle. It would hurt too much."""	sport
"Research has found that in some developing nations old mobile phones can help close the digital divide. The Forum for the Future research found that the low cost of these recycled handsets means they can have a very useful second life in poorer nations. But the Forum found that more needed to be done to collect old phones rather than let them rot in landfill sites. The report reveals that approximately 15 million mobile phones go out of use every year in the UK. Of the 15 million that are swapped for newer models each year, only 25% get returned to mobile phone firms for recycling or re-use. The slowly growing mass of unrecycled, discarded phones has now reached 90 million handsets, the equivalent of 9,000 tonnes of waste, estimates James Goodman, report author and a senior adviser at the Forum for the Future. ""It's quite common for people to have two or three phones just lying around,"" said Mr Goodman. Many of these older phones could end up in landfill sites leaking the potentially toxic materials they are made of into the wider world, said Mr Goodman. Far better, he said, to hand the phone back to an operator who can send it overseas where it can enjoy a second lease of life. ""We've heard the environmental argument for handing a phone back,"" said Mr Goodman, ""but there's a strong social argument too."" Older mobile phones are proving particularly useful in poorer nations where people want to use a mobile and keep in touch with friends and family but do not have the income to buy the most up to date model. The Forum for the Future report took an in-depth look at Romania where reconditioned mobile phones were proving very popular. ""It's an interesting country because it has a really crap fixed line network,"" said Mr Goodman, ""and there's a real desire for people to get mobile phones."" But the relatively low wages in Romania, which is one of the poorest countries in Europe, mean few people can afford a shiny new phone. ""The affordability of the handsets is a real barrier to getting one,"" he said. Reconditioned handsets have boosted take-up of mobiles as the report revealed that almost one-third of Romanian pre-pay mobile phone users were using reconditioned handsets. The re-used handsets tend to be about one-third of the price of a new handset. Georgeta Minciu, a Romanian part-time cleaner, said: ""Normally a mobile phone would not be possible on my wages. I am a single parent - keeping in touch with my daughter is important to me."" ""This is the only way I can afford to have a phone,"" she said. Mr Goodman said phone operators and consumers needed to do more to ensure that more of Britain's mobile mountain made it overseas. But, he added, those keen to use a mobile will not accept any old handset. ""If its more than a few years old people are not going to want it,"" he said."	tech
"The independent film festival will feature two new international cinema competitions, during its 20-30 January season in Utah. Forty-two films will debut at Sundance, including The Liberace of Baghdad by British director Sean McAllister. The prestigious festival was founded by actor Robert Redford in 1981. ""We have always had an international component, but from next year they will enter a jury competition,"" festival director Geoffrey Gilmore said. ""We wanted to give world cinema more emphasis and have now put it on par with the American dramatic and documentary competitions."" Twelve films competing in the new world cinema documentary category focus on countries and people under siege. The Liberace of Baghdad features an Iraqi pianist hiding in a hotel as he waits for a visa, while Finnish film The Three Rooms of Melancholia looks at the war in Chechnya. Shake Hands With The Devil: The Journey of Romeo Dallaire tells of a UN mission to Rwanda during the 1994 genocide, while French-Israeli production Wall looks at Israel's controversial security wall separating it from the Palestinian territories. The 16 films competing in the new world cinema dramatic category include works from Germany, South Korea, Angola, China, Denmark and Australia. Several Hollywood stars feature in the festival's American independent drama category, including Keanu Reeves and Benjamin Bratt. Vince Vaughn stars in quirky movie Thumbsucker while 21 Grams actress Naomi Watts plays a budding Hollywood actress in Ellie Parker. The top Grand Jury prize at this year's festival went to low budget sci-fi thriller Primer, written and directed by Shane Carruth. Morgan Spurlock earned the directing award for Super Size Me, which became an international box office hit."	entertainment
"The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn. The deficit with China, up 30.5% at $162bn, was the largest ever recorded with a single country. However, on a monthly basis the US trade gap narrowed by 4.9% in December to Â£56.4bn. The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies. Democrats claim the administration has not done enough to clamp down on unfair foreign trade practices. For example, they believe China's currency policy - which US manufacturers claim has undervalued the yuan by as much as 40% - has given China's rapidly expanding economy an unfair advantage against US competitors. Meanwhile, the Bush administration argues that the US deficit reflects the fact the America is growing at faster rate than the rest of the world, spurring on more demand for imported goods. Some economists say this may allow an upward revision of US economic growth in the fourth quarter. But others point out that the deficit has reached such astronomical proportions that foreigners many choose not to hold as many dollar-denominated assets, which may in turn harm growth. For all of 2004, US exports rose 12.3% to $1.15 trillion, but imports rose even faster by 16.3% to a new record of $1.76 trillion. Foreign oil exports surged by 35.7% to a record $180.7bn, reflecting the rally in global oil prices and increasing domestic demand. Imports were not affected by the dollar's weakness last year. ""We expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend,"" said economist Marie-Pierre Ripert at IXIS."	business
"The report by the US Pew Research Center reveals that 87% of searchers usually find what they were looking for when using a search engine. It also shows that few can spot the difference between paid-for results and organic ones. The report reveals that 84% of net users say they regularly use Google, Ask Jeeves, MSN and Yahoo when online. Almost 50% of those questioned said they would trust search engines much less, if they knew information about who paid for results was being hidden. According to figures gathered by the Pew researchers the average users spends about 43 minutes per month carrying out 34 separate searches and looks at 1.9 webpages for each hunt. A significant chunk of net users, 36%, carry out a search at least weekly and 29% of those asked only look every few weeks. For 44% of those questioned, the information they are looking for is critical to what they are doing and is information they simply have to find. Search engine users also tend to be very loyal and once they have found a site they feel they can trust tend to stick with it. According to Pew Research 44% of searchers use just a single search engine, 48% use two or three and a small number, 7%, consult more than three sites. Tony Macklin, spokesman for Ask Jeeves, said the results reflected its own research which showed that people use different search engines because the way the sites gather information means they can provide different results for the same query. Despite this liking for search sites half of those questioned said they could get the same information via other routes. A small number, 17%, said they wouldn't really miss search engines if they did not exist. The remaining 33% said they could not live without search sites. More than two-thirds of those questioned, 68%, said they thought that the results they were presented with were a fair and unbiased selection of the information on a topic that can be found on the net. Alongside the growing sophistication of net users is a lack of awareness about paid-for results that many search engines provide alongside lists of websites found by indexing the web. Of those asked, 62% were unaware that someone has paid for some of the results they see when they carry out a search. Only 18% of all searchers say they can tell which results are paid for and which are not. Said the Pew report: ""This finding is ironic, since nearly half of all users say they would stop using search engines if they thought engines were not being clear about how they presented paid results."" Commenting Mr Macklin said sponsored results must be clearly marked and though they might help with some queries user testing showed that people need to be able to spot the difference."	tech
"The index rose 225.79 points in four hours of furious trading, with many investors optimistic that political stability could bring an economic boom. The KSE index closed at 6709.93 - an overall gain of nearly 400 points in the first two trading days of the week. Energy and telecommunication stocks performed particularly well, recording an 8%-10% rise since Monday morning. In 2002, the KSE was the world's best performing stock market, with the index rising 112%. Pakistani investors are expecting the KSE to repeat, if not improve on, its 2002 performance. Jubilant investors danced on the streets as the market closed for the day on Tuesday, confident that the boom will continue at least until the public holiday on 22 January. Others, however, who had stayed out fearing an imminent collapse because of prices overheating, continued to warn that the ""bubble may burst any time"". ""That's rubbish,"" KSE chairman Yaseen Lakhani told the BBC News website. ""Whenever the market reflects Pakistan's true economic reality, it is described as a bubble."" Mr Lakhani feels that the market has risen on the basis of solid economic growth and its current level rests on sound foundations. Market analysts are inclined to agree with Mr Lakhani, arguing that there are a number of major factors behind the KSE's performance. Analysts argue that a steady improvement in Pakistan's credit ratings by international credit rating agencies has finally begun to register in the market. Standard & Poor's upgraded Pakistan a few weeks ago. There are indications of yet another upgrade by the end of February. Then, say analysts, there is corporate profitability in the current fiscal year, which has gone up by 27% from last year. ""Coupled with the 7% GDP growth expected by June this year, I am least surprised at the market's performance,"" says Mr Lakhani. One leading Karachi broker said the real reasons may be political. ""If you file a $1.3 trillion case against Saudi money after 9/11, Arab money will not go to the US any more."" A lot of Arab money, he says, has already gone to Malaysia and Indonesia. Pakistanis are now hoping that energy and telecoms, two of the strongest sectors in Pakistan, draw some of the Arab money to the KSE. Locally, too, say analysts, recent political developments have worked to the market's advantage. An anti-Musharraf campaign threatened by the MMA, a countrywide alliance of religious parties, has fizzled out. The release of Asif Zardari, former Prime Minister Benazir Bhutto's husband, has eased political tensions between the military-backed government and the opposition Pakistan People's Party. Most importantly, say analysts, the failure of talks between India and Pakistan on the Baglihar dam in Indian-administered Kashmir has not automatically led to heightened tensions. This, they say, indicates that neither country is interested in raising the temperature at this stage, irrespective of the state of their disagreements. The market is abuzz with speculation that substantial investment may now start to flow in from the US, a country seen locally as deeply interested in defusing tensions between the South Asian neighbours. ""You can call it a peace dividend,"" smiles one broker. ""Let us see how long one can reap its benefits."""	business
"Vera Drake, Mike Leigh's tale about a 1950s backstreet abortionist, is nominated in 11 categories. These include best film, best director and best actress shortlist for Imelda Staunton who plays the eponymous character. The film has spent months being lauded with prizes, from the Venice Film Festival to five awards from the London Critics' Circle on Wednesday night. The Baftas has a tradition of honouring British cinema, and this year Vera Drake is the obvious candidate to be heaped with praise. Empire magazine's reviews editor Dan Jolin said the film had ""a very good chance"" of doing well on Saturday, predicting that it would collect five or six awards. ""I don't think it's going to do a Lord of the Rings-style sweep, but Imelda Staunton is a shoo-in for best actress,"" he said. ""A best director prize for Mike Leigh and best British film are also likely and it could steal some awards from heavily-nominated competitors The Aviator and Finding Neverland."" Mr Jolin tipped another contender - most likely The Aviator - to walk away with the Bafta for best film, and added that Finding Neverland had been lavished with nominations but not trophies. Strong Oscar contenders Million Dollar Baby and Sideways did not figure in the Bafta nominations, giving Vera Drake greater potential to walk away with the big prizes. ""There is a sense that this film is ours and we should slap our own guys on the back. Out of all the films in the running for the Baftas, Vera Drake is the true blue British one."" ""If Mike Leigh is going to win awards for anything, it should be Vera Drake at this year's Baftas"", said Mr Jolin, adding that the film was probably his most technically accomplished and lavish work yet. Mr Jolin also tipped Phil Davis for a best supporting actor prize for his role in Vera Drake but felt that Heather Craney could be outdone by Kate Winslet or Natalie Portman in the supporting actress category. ""If there is anywhere where this film is going to win, it will be at the Baftas,"" he said. The Guardian's film critic Peter Bradshaw felt that there ""might well be"" a sweep of awards for Vera Drake on Saturday night. ""I hope that Bafta voters will respond to the extremely high standard of acting from the whole cast of the film. If Bafta can't do so, what hope is there?"" he said. Mr Bradshaw felt that Mike Leigh's ""masterpiece"" was entitled to the best film award - leaving Dead Man's Shoes, Harry Potter and the Prisoner of Azkaban, My Summer of Love and Shaun of the Dead to slug it out for the best British film trophy. ""I will be cheering if Vera Drake wins a whole host of awards,"" he added."	entertainment
"In a speech focusing on issues arising from the re-election of George W Bush, Mr Kennedy said Iraq had become a ""crucible of militant terrorism"". He wants to see a phased withdrawal of UK troops ""as soon as the situation allows"", he said in London. Any exit strategy must ""augment and support"" the democratic process. ""There are some who are of the opinion that the mere presence of British and American troops in Iraq feeds the insurgency,"" he said. ""There is some truth in that, especially after the initial mistakes that were made - the heavy-handedness of operations like Fallujah, and the well-publicised instances of abuse at the hands of coalition forces."" Mr Kennedy pointed out that the Netherlands, Portugal and the Czech Republic, which all have troops operating in the southern sector of Iraq, have announced their imminent withdrawal ""regardless of the situation on the ground"". He accused Mr Blair's government of ""being less than straightforward"" over its plans. ""Next week the prime minister should make a statement regarding the elections in Iraq,"" Mr Kennedy said during his City of London speech. ""He should set out a proper exit strategy, including the phased withdrawal of British troops, as the security situation allows."" Mr Kennedy also argued that British troops deployed in Iraq should be replaced with forces from other countries - ""especially Islamic countries""."	politics
"The 51-year-old premier has marked his 2,838th day in the post, overtaking the combined length of Harold Wilson's two terms during the 1960s and 1970s. If Mr Blair wins the next election and fulfils his promise to serve a full third term, he will surpass Margaret Thatcher's 11 years by the end of 2008. In 1997, Mr Blair became the youngest premier of the 20th century, when he came to power at the age of 43. The last prime minister to be installed at a younger age was Lord Liverpool, who was a year his junior in 1812. Mr Blair's other political firsts include becoming the first Labour leader to win two successive full terms in power after the 2001 Labour landslide. And the birth of the Blairs' fourth child, Leo, on 20 May, 2000, was the first child born to a serving prime minister in more than 150 years. The last ""Downing Street dad"" was Lord John Russell in 1848. Labour won a huge majority of 167 over the Conservatives in 2001, but Mr Blair has since been criticised by many in his own party. The war in Iraq and reforms of the health service and education system have provoked dissent from backbenchers. Gordon Brown, chancellor of the exchequer under Mr Blair, became Britain's longest-serving chancellor of modern times in 2004. Former Labour leader Lord Kinnock said the chancellor would be best placed to take over from Mr Blair. When asked about the future leadership of the party, he told ITV Wales' Waterfront programme: ""That contest is a long way away and it will occur only when the Prime Minister, Tony Blair, decides he's subscribed all he can and then wants to go. ""I think that the main contender will be Gordon Brown, who is a man of virtually unmatched capability and now great experience."" Both Mr Brown and Mr Blair rose to prominence when Lord Kinnock led Labour between 1983 and 1992."	politics
"The country's new president, Mikhail Saakashvili, has said that anyone now willing to disclose their wealth will only have to pay 1% in income tax. The measure is designed to legitimise previously hidden economic activity and boost Georgia's flagging economy. Georgia's black market is estimated to be twice the size of its legal economy. Mr Saakashvili, elected president in January after Mr Shevardnadze was toppled, has urged the Georgian Parliament to approve the amnesty as soon as possible. It is one of a series of proposals designed to tackle corruption, which was rampant during the Shevardnadze era, and boost Georgia's fragile public finances. The new government is encouraging companies to pay taxes by scrapping existing corruption investigations and destroying all tax records from before 1 January, three days before President Saakashvili was elected. ""There are people who have money but are afraid to show it,"" the president told a government session. ""Documentation about where this money came from doesn't exist because under the former, entirely warped regime, earning capital honestly was not possible."" By declaring their assets and paying the one-off tax, people would be able to ""legalise their property"", Mr Saakashvili stressed. ""No one will have the right to check this money's origin. This money must go back into the economy."" The amnesty will not extend to people who made money through drugs trafficking or international money laundering. Criminal investigations in such cases -thought to involve about 5% of Georgian businesses -are to continue. Mr Saakashvili has accused the Shevardnadze regime, which was toppled by a popular uprising in November, of allowing bribery to flourish. Georgia's economy is in a desperate condition. Half the population are living below the poverty line with many surviving on income of less than $4, or three euros, a day. The unemployment rate is around 20% while the country has a $1.7bn public debt."	business
"Revenue dipped 1.4% to 86.7bn Swiss francs ($74.6bn; Â£39.1bn) in 2004 as sales of ice cream and mineral water were dampened by the wet summer. However, Nestle's profits margins were helped by a strong performance in the Americas and China. Nestle is to raise its dividend by 11% after paying back some of its debt. Nestle said that the strength of the Swiss franc against the US dollar, the disposal of businesses and challenging trading conditions in Europe all dented sales. A poor summer across the continent - in contrast to the prolonged heat wave in 2003 - ""severely affected"" demand for ice cream. Sales of bottled water also fell, although chocolate, coffee, frozen goods and petcare products performed better. Elsewhere, Nestle said it had enjoyed an ""exceptional"" year in North America, outperforming the market in terms of sales growth. Nestle added that it had performed strongly in Africa and Asia despite the impact of high oil prices and political instability. Nestle's total earnings before interest remained broadly flat over the past year, despite the company managing to boost profit margins. As well as increasing its dividend, Nestle plans to buy back shares worth 1bn Swiss francs ($861m; Â£451m). Looking forward, Nestle forecasts organic earnings growth of about 5% in 2005, although it warned that trading would remain just as competitive. Uncertainty remains over the future of Perrier, the iconic French mineral water owned by Nestle. Perrier has been locked in a long-standing dispute with unions about productivity levels at the business, which has lead Nestle to consider selling the firm. ""The option of selling is Perrier is still on the table,"" chief executive Peter Brabeck-Letmathe confirmed on Thursday."	business
"The firm has benefited from increased demand for electricity at a time when power shortages have hit cities and provinces across the country. As a hydroelectric-power generator it has not been hurt by higher coal costs. Net income jumped to 3bn yuan in 2004 ($365m; Â£190m), compared with 1.4bn yuan in 2003. Sales surged to 6.2bn yuan, from 3bn yuan a year earlier. The figures topped analysts expectations, even though the rate of growth has slowed from 2003. Analysts forecast that it is likely to decline further this year to a rate of expansion of closer to 20%. Yangtze Electric has been expanding its output to meet demand driven by China's booming economy. The government has delayed the building of a number of power plants in an effort to rein in growth amid concerns that the economy may overheat. That has led to an energy crunch, with demand outstripping supply. Earlier this month, work was halted on an underground power station, and a supply unit on the Three Gorges Dam, as well as a power station on its sister Xiluodu dam because of environmental worries. A total of 30 large-scale projects have been halted across the country for similar reasons. The Three Gorges Dam project has led to more than half a million people being relocated and drawn criticism from environmental groups and overseas human rights activists. Its sister project, the Xiluodu Dam, is being built on the Jinshajiang - or ""river of golden sand"" as the upper reaches of the Yangtze are known."	business
